Strain,Group,Color,Replicate,HOBO,Temp,RH,FinalDateTime
ROCK,BF,B,Morning,192,31.978,57.262,7/27/2023 10:24
ROCK,BF,B,Morning,192,32.312,54.928,7/27/2023 10:34
ROCK,BF,B,Morning,192,32.724,55.264,7/27/2023 10:44
ROCK,BF,B,Morning,192,33.139,51.409,7/27/2023 10:54
ROCK,BF,B,Morning,192,33.113,50.176,7/27/2023 11:04
ROCK,BF,B,Morning,192,33.087,49.414,7/27/2023 11:14
ROCK,BF,B,Morning,192,33.686,49.301,7/27/2023 11:24
ROCK,BF,B,Morning,128,30.704,71.215,7/27/2023 9:25
ROCK,BF,B,Morning,128,30.729,69.788,7/27/2023 9:35
ROCK,BF,B,Morning,128,30.805,67.073,7/27/2023 9:45
ROCK,BF,B,Morning,128,31.11,66.548,7/27/2023 9:55
ROCK,BF,B,Morning,128,31.313,64.446,7/27/2023 10:05
ROCK,BF,B,Morning,128,31.594,61.654,7/27/2023 10:15
ROCK,BF,B,Morning,128,31.619,61.257,7/27/2023 10:25
ROCK,BF,B,Morning,128,31.978,59.134,7/27/2023 10:35
ROCK,BF,B,Morning,128,32.337,58.706,7/27/2023 10:45
ROCK,BF,B,Morning,128,32.595,56.027,7/27/2023 10:55
ROCK,BF,B,Morning,128,32.492,54.264,7/27/2023 11:05
ROCK,BF,B,Morning,128,32.569,54.589,7/27/2023 11:15
ROCK,BF,B,Morning,128,33.061,55.492,7/27/2023 11:25
ROCK,BF,B,Morning,64,30.174,73.799,7/27/2023 9:17
ROCK,BF,B,Morning,64,30.375,71.399,7/27/2023 9:27
ROCK,BF,B,Morning,64,30.401,71.162,7/27/2023 9:37
ROCK,BF,B,Morning,64,30.502,70.601,7/27/2023 9:47
ROCK,BF,B,Morning,64,30.729,68.425,7/27/2023 9:57
ROCK,BF,B,Morning,64,30.957,66.083,7/27/2023 10:07
ROCK,BF,B,Morning,64,31.186,66.502,7/27/2023 10:17
ROCK,BF,B,Morning,64,31.211,64.753,7/27/2023 10:27
ROCK,BF,B,Morning,64,31.517,63.23,7/27/2023 10:37
ROCK,BF,B,Morning,64,31.85,60.053,7/27/2023 10:47
ROCK,BF,B,Morning,64,32.08,60.28,7/27/2023 10:57
ROCK,BF,B,Morning,64,32.003,57.343,7/27/2023 11:07
ROCK,BF,B,Morning,64,32.132,58.713,7/27/2023 11:17
ROCK,BF,B,Morning,0,29.722,76.938,7/27/2023 9:18
ROCK,BF,B,Morning,0,29.872,75.64,7/27/2023 9:28
ROCK,BF,B,Morning,0,29.922,75.005,7/27/2023 9:38
ROCK,BF,B,Morning,0,30.023,74.333,7/27/2023 9:48
ROCK,BF,B,Morning,0,30.199,72.403,7/27/2023 9:58
ROCK,BF,B,Morning,0,30.401,71.115,7/27/2023 10:08
ROCK,BF,B,Morning,0,30.577,70.369,7/27/2023 10:18
ROCK,BF,B,Morning,0,30.653,70.011,7/27/2023 10:28
ROCK,BF,B,Morning,0,30.907,68.785,7/27/2023 10:38
ROCK,BF,B,Morning,0,31.186,66.012,7/27/2023 10:48
ROCK,BF,B,Morning,0,31.39,66.106,7/27/2023 10:58
ROCK,BF,B,Morning,0,31.339,65.858,7/27/2023 11:08
ROCK,BF,B,Morning,0,31.466,64.303,7/27/2023 11:18
ROCK,M,B,Noon,192,34.898,40.312,7/27/2023 12:24
ROCK,M,B,Noon,192,35.19,38.848,7/27/2023 12:34
ROCK,M,B,Noon,192,35.404,37.21,7/27/2023 12:44
ROCK,M,B,Noon,192,35.377,38.928,7/27/2023 12:54
ROCK,M,B,Noon,192,35.137,39.417,7/27/2023 13:04
ROCK,M,B,Noon,192,35.537,39.447,7/27/2023 13:14
ROCK,M,B,Noon,192,35.217,37.816,7/27/2023 13:24
ROCK,M,B,Noon,192,35.324,38.441,7/27/2023 13:34
ROCK,M,B,Noon,192,35.671,36.778,7/27/2023 13:44
ROCK,M,B,Noon,192,35.27,36.83,7/27/2023 13:54
ROCK,M,B,Noon,192,35.377,35.358,7/27/2023 14:04
ROCK,M,B,Noon,192,35.164,36.009,7/27/2023 14:14
ROCK,M,B,Noon,192,35.19,34.774,7/27/2023 14:24
ROCK,M,B,Noon,128,34.211,44.591,7/27/2023 12:25
ROCK,M,B,Noon,128,34.422,43.463,7/27/2023 12:35
ROCK,M,B,Noon,128,34.58,41.839,7/27/2023 12:45
ROCK,M,B,Noon,128,34.554,43.182,7/27/2023 12:55
ROCK,M,B,Noon,128,34.474,44.215,7/27/2023 13:05
ROCK,M,B,Noon,128,34.818,43.497,7/27/2023 13:15
ROCK,M,B,Noon,128,34.554,42.153,7/27/2023 13:25
ROCK,M,B,Noon,128,34.739,42.638,7/27/2023 13:35
ROCK,M,B,Noon,128,34.898,40.343,7/27/2023 13:45
ROCK,M,B,Noon,128,34.607,41.518,7/27/2023 13:55
ROCK,M,B,Noon,128,34.739,39.333,7/27/2023 14:05
ROCK,M,B,Noon,128,34.633,39.528,7/27/2023 14:15
ROCK,M,B,Noon,128,34.712,39.12,7/27/2023 14:25
ROCK,M,B,Noon,64,33.608,48.582,7/27/2023 12:27
ROCK,M,B,Noon,64,33.739,49.632,7/27/2023 12:37
ROCK,M,B,Noon,64,33.922,45.439,7/27/2023 12:47
ROCK,M,B,Noon,64,33.922,46.3,7/27/2023 12:57
